beta,alpha,tvd
0.1,3.669096271231523e-8,1.05065692349059e-5
0.1,3.9324400149968054e-8,1.1820169068764853e-5
0.1,4.2146848510894035e-8,1.2919935900616543e-5
0.1,4.517187376351355e-8,1.4311827357162956e-5
0.1,4.8414015552773186e-8,1.5923754810681477e-5
0.1,5.188885708428172e-8,1.7569191306085388e-5
0.1,5.56131000242714e-8,1.941287675798114e-5
0.1,5.960464477539063e-8,2.1286664445731236e-5
0.1,6.388267651416625e-8,2.3750248997151465e-5
0.1,6.84677574036738e-8,2.639639121669994e-5
0.1,7.338192542463046e-8,2.9231387717086713e-5
0.1,7.864880029993611e-8,3.22615092454485e-5
0.1,8.429369702178807e-8,3.549300032712279e-5
0.1,9.03437475270271e-8,3.950370472570401e-5
0.1,9.682803110554637e-8,4.375687622375018e-5
0.1,1.0377771416856343e-7,4.846257371104876e-5
0.1,1.112262000485428e-7,5.3319965479954444e-5
0.1,1.1920928955078125e-7,5.866943320332951e-5
0.1,1.277653530283325e-7,6.509197101845884e-5
0.1,1.369355148073476e-7,7.122099465012817e-5
0.1,1.4676385084926092e-7,7.122099465012817e-5
0.1,1.5729760059987222e-7,7.122099465012817e-5
0.1,1.6858739404357614e-7,7.122099465012817e-5
0.1,1.806874950540542e-7,7.101744411270881e-5
0.1,1.9365606221109274e-7,7.101744411270881e-5
0.1,2.0755542833712687e-7,7.101744411270881e-5
0.1,2.224524000970856e-7,7.076531617830078e-5
0.1,2.384185791015625e-7,7.076531617830078e-5
0.1,2.55530706056665e-7,7.076531617830078e-5
0.1,2.738710296146952e-7,7.046553208672212e-5
0.1,2.9352770169852185e-7,7.046553208672212e-5
0.1,3.1459520119974443e-7,7.011901162374556e-5
0.1,3.371747880871523e-7,7.011901162374556e-5
0.1,3.613749901081084e-7,6.972667313314034e-5
0.1,3.873121244221855e-7,6.972667313314034e-5
0.1,4.1511085667425373e-7,6.92894335265111e-5
0.1,4.449048001941712e-7,6.880820829534566e-5
0.1,4.76837158203125e-7,6.880820829534566e-5
0.1,5.1106141211333e-7,6.82843034522309e-5
0.1,5.477420592293904e-7,6.789726451614429e-5
0.1,5.870554033970437e-7,6.79686078906968e-5
0.1,6.291904023994889e-7,6.833667343987651e-5
0.1,6.743495761743046e-7,6.876075702564306e-5
0.1,7.227499802162168e-7,6.921643895898587e-5
0.1,7.74624248844371e-7,7.076680680572625e-5
0.1,8.302217133485075e-7,7.616651628395332e-5
0.1,8.898096003883424e-7,7.908655066707714e-5
0.1,9.5367431640625e-7,8.258762779499837e-5
0.1,1.02212282422666e-6,9.088918220692503e-5
0.1,1.0954841184587807e-6,9.99367787121602e-5
0.1,1.1741108067940874e-6,0.00010474078663799192
0.1,1.2583808047989777e-6,0.00011500040199844921
0.1,1.3486991523486091e-6,0.0001268204573399516
0.1,1.4454999604324336e-6,0.00014612928731436807
0.1,1.549248497688742e-6,0.00016014302377076066
0.1,1.660443426697015e-6,0.00017508464303289418
0.1,1.7796192007766848e-6,0.000201234054071796
0.1,1.9073486328125e-6,0.00023104753819232188
0.1,2.04424564845332e-6,0.00026303748618093984
0.1,2.1909682369175614e-6,0.0003089081094479544
0.1,2.3482216135881748e-6,0.0003457151680595009
0.1,2.5167616095979554e-6,0.00039798399928420446
0.1,2.6973983046972182e-6,0.0004538876529889244
